,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
99,christoph,probst,7vos7wdawq9hlby1xngxxq,mbb4djcmilfmzvzxpro3xa,michael,ja,6oixht43b10doqpnvrfs9g,falsch,kinder,_thnzpbupdextj8ora7zew,widerstand,rose,herta,familie,entscheidung,katharina,entscheiden,phzf68yhoofgikplfuv6zg,gefahr,richtig
100,flädlesuppe,rezept,mutter,pfannkuchen,lecker,mzarj4nrkzrzdxr_iqhag,liebe,oma,immer,brühe,streifen,schneiden,essen,al4mkphz3xdowfcq,6m5up,flädle,diakonissen,milch,kennengelernt,_0pnwfucq44iygdx_ycg
101,gott,liebt,verstehe,zeichen,glauben,igwzxo9hcj5b8d8dgiwqqa,gottes,gebet,geliebt,the,to,menschen,erlöst,spüren,ich,gebete,jesus,zulässt,liebe,gut
102,mthyuxuyzqli83nugnwwjq,fliehen,legalem,vater,flucht,ja,angst,ruhig,staaten,deutschland,asylrecht,menschen,land,familie,visum,viele,mbkyyevv7hijgtqjczwq2g,wäre,situation,schon
103,pan,spatzen,zeichnungen,zeichnen,peter,skizzen,künstlerin,sophie,nachlass,probierte,sha6kmjhmvjcql2bjkn_ug,theaterstücke,tiermotive,auftragsarbeiten,scherenschnitte,skizzenbuch,0x0vggbjjpap2spusnkj9w,werke,schlangen,institut
104,pimpf,schwester,schwestern,inge,175,instrumental,andenken,eltern,kind,hinterbliebenen,immer,homosexualität,strangelove,ubynrjm0kgq1slpj,zqda,nervt,große,kleine,mütterlich,7bpyhv7nhelkgqtprovdqg
105,quatsch,liebe,sentimentaler,gefühlsamen,menschenkontankt,intimären,albernde,verhälst,verbindlichkeit,genieße,sophie,sehnsucht,auszusuchen,vermisst,nennt,kerze,liebst,same,auszutauschen,das
106,kehrwoche,reinigung,geschwister,musik,sonderbar,geschwisterliebe,schwester,vermieter,tanzt,schwaben,qzonea6oml2mkvxpbzv23q,zugezogene,streiten,inge,erlaubt,gibt,pack,nervig,hib4mkmha,vgwtwb0q_04a
107,version,vergleiche,imma,_cy1fq,q_zdibzfcofgner,kehrwoch,julzn94,qzidfbqrjjixmaf,8kaft9nxdfqh61_osoi_wg,tabalugadie,muffigkennt,hahs,rmalcw,negacionistas,feminazis,selbstgebauten,altdeutsch,geschmacklich,flädlesupp,unterlasst
108,englisch,that,the,to,and,you,it,thank,very,zeyblender,ikarcz2urmrghszt5mnf7a,nickname,english,soffer,with,we,of,re,but,is
109,ja,sternweiler,lstcxbnrot85wvi7wu6p3q,ansg5ilxo1k8jxfvryhyyq,max,sophie,lfyzy6hbtv2wjkdmqvigya,arisiert,narration,emigrieren,sabotage,ur,verkauf,enteignet,hib4mkmha,vgwtwb0q_04a,rauch,panzer,wurde,zzfxp0gmhyx4ash5o9qe8q
110,karte,lgzbahr7y_ehdabxmulpgg,gruppen,kommunistische,sozialistische,studierendenschaft,ja,842,uboat,gebietsbezeichnungen,müllers,1892,bootkommandant,commanders,ehingen,ortsgruppenleiter,professor,eliten,bekundet,gemeinwohl
111,selbstporträt,otl,fritz,ljjyayb2enujmcspie4zug,inge,aicher,spatzen,talent,eevvmerepu9mwyxmwnd,otls,qq,stimmung,geheiratet,berufssoldat,7jxzvumkki2btejh1m__wa,lhqiykbla_ymcl3kgsddlw,sophie,ja,gestaltung,8gjeq
112,aa4nomjnlyedlgj_butmqg,dei7j3unhc8v0oerufqgq,nachbarn,vergleiche,corona,menschen,petzen,vgwtwb0q_04a,hib4mkmha,ddr,ja,immer,denunziant,lump,denunzieren,macht,zeit,verrat,4csa9pp7rljgowczljnawg,lqqcmyavvm
113,vater,erziehungsratgeber,starker,sophie,sprüche,prägenstarkes,0a0dgctvnoe4yqvzetncfw,papa,4vc7_zcrzc0w_sk7ijb,dein,reichsarbeitsdienst,stillstand,7bxspxqhotlhljy3iep92g,krauchenwies,ausdruck,rudolf,klassischen,vaters,eltern,bild
114,vater,scholl,ljv,uejwyxhj45sjuc92cw,robert,radierung,hans,ja,eltern,wandel,hj,sophie,geduld,nlepbnfi3ymctnnuwartyg,fahne,bdm,wurde,inge,münchner,entwicklung
115,ceg0o4hyexaaghwyzas,oa,diktatur,uzo4buvltpjxswa5iqvxeg,vergleiche,corona,eindämmung,gefängnis,mehr,parallelen,hast,qefhecpfxkk9mtssrtljuq,verhängt,wegen,maßnahmen,untergau,gesetz,ja,robert,panik
116,woche,satzes,einzigen,cgy,mudda,wju,ichbinsophieschollunglaublich,ausgerastet,kzuw,jrcqwvonlgf1xaroqcs18q,juthx8oum,wiederholbar,schwäbeln,genitiv,kanndanke,uhdvhypzebkb40fdh0eo3g,kannste,grauenhafte,wegen,gross
117,erntedankfest,the,sophie,ja,english,german,more,flugblättern,people,fritz,with,of,vgwtwb0q_04a,hib4mkmha,vater,would,schon,kartoffelerntefest,einlagern,wbi24txukihcqznifzmbfq
118,kartoffeln,erntedankfest,muckefuck,bückeberg,sc06aikthfhdqsu8o8kthg,x1oijyab_wq4wutpqmuzvq,oma,entstanden,wurde,kaffee,butter,y6xaa,moqhqpfnzqcdhqsuow8d9a,rp1ktjwbqt5quce0,lkv0ydwipuderde0kj6y9a,kartoffelfeuer,reinlegen,bauerntum,8gdig6_um_8truateeg1bw,erntedankfeste
119,2xgx4wf0nrgx4y8ymnukpg,enteignungen,palästinenser,juden,gq_dkm4gnrw,1twvjvu,hc,h7kmzutymvssnfvg4fw_aw,rekthdpet4u1_opx1g_jtq,israel,kfxymbwzq1lts4mkmb3wqq,munitionsfabrik,enteignung,massnahmen,arbeiten,innen,l3hac8f6twqbwkbe2th3fg,dhimmi,nichtarbeit,kerngesunde
120,hose,hosen,marlene,tragen,k14jxvqfzoma5iqjjjwnbw,anziehen,fall,ja,kleidung,sieht,5dbehmzqrf1apzmzi746cg,dietrich,kleider,toll,kleid,auf,röcke,gut,mode,frauen
121,traute,lebt,102,qtebpf3f_s8juil_fdu0ja,bfjcz8dumxl5rwekbybyma,jessica,miller,lee,m8iu65gcdvwh8tierws9ng,l2raayqdahtzgkvbll,wunderschön,auen5ib71aqn3f0oftlsua,lzg,lafrenz,wissenschaftl,rauchen,kleidungsstil,weekly,alt,the
122,inge,geburtstag,uralt,glückwunsch,birthday,gute,alles,happy,okp6hrbovg,jbo0iooq28_,uaru2w2jhsauama3rnhe_a,herzlichen,25,liebe,ww3hlszyvn0dstglr_1xhw,y9keiq8uv0nttivgmhjw2w,vergammelt,patentante,heißt,geschwisterliebe
123,geburtstag,kuchen,glückwunsch,feiern,mama,birthday,geburtstagen,bmyhzhdjbv6bnuwxfiet3w,immer,tradition,geburtstagskind,essen,inge,happy,academy,frühstück,dance,mitternacht,kerzen,tag
124,romantik,fritz,sophie,briefe,krieg,teamsoffer,e5ew9e8jx3y6bqvr5i04la,lob,knp77,p1txdko9eot61yaq,liebe,auen5ib71aqn3f0oftlsua,hoffnung,gefühle,woroschilowgrad,spital,löwenherz,lwiw,rd0gha,ceqdemdtsbv1m
125,male,malen,clique,vorfreude,entfernung,versuche,sophie,positive,gegenwart,gedanken,oliver,tah,schweife,seelenfrieden,meiddas,unabsehbarer,bezig,festhaltens,fotos,brocken
126,ulm,aachen,heimat,hirschstraße,anker,immer,aufnahmen,münster,gewohnt,einstein,zuhause,video,stadt,albert,gedenkdings,h8kujci2,aachener,fischerviertel,olgastraße,qfwcqtkom6sfw
127,bluse,musik,vorsichtig,jazz,hirzels,hirzel,the,sophie,hansi,kir62n53b83w,gep5gwldg,uuy9hrp9d3atzxvsvbkjq,bg4yk6w2_e0ny7ebice1mq,sei,swing,rep,9tjaj59g0l6kvpysbdeogq,susanne,ausstellung,ja
128,and,uorqq77g6mrntuhksdfqkg,it,with,translated,time,one,do,the,school,learn,subtitles,you,english,on,have,that,instead,french,aufmachten
129,verbündete,pqxz0lp3pydbxu8mntzwpa,bk,antijudaismus,hirzel,pfarrer,hirzels,ja,yabqu9ho0lhjgl4cnwi26w,urhebern,bekennenden,zankel,antisemiten,kirche,sophie,antisemit,hans,english,benz,antisemitismus
130,hilft,einschlafen,atemübungen,psalmen,milch,ausatmen,tipps,psalm,beten,schlaf,einatmen,bett,honig,muskelentspannung,tfdocrmtvzlawwbqfxwfvq,kopf,schlafen,gut,lavendelöl,kopfkissen
131,zähne,träume,traum,mittagsschlaf,aufgewacht,fallen,riesenrad,fallträume,kiefer,ptl62oa6nfpw0paenbtzqq,izyf2xrju0qjosuoegduyw,unterbewusstsein,vielleicht,sophie,immer,entspannen,aufgehört,mal,zeichnung,jahrelang
132,pan,peter,nimmerland,kind,kabul,frrujkzctnkiu21pcsyyyg,hook,kindes,ja,wendy,immer,augenhöhe,kindern,assoziationen,kinder,erwachsen,kinderaugen,ofbamsrhf,xan3m5etid4yeloni0ei,rqgdw7c910cq
133,limgquvsbzuc1j5k5druhg,natur,klimawandel,intakt,hoffen,zeit,vorbei,weitergeht,tauschen,umwelt,ausblendet,frankl,normal,irgendwann,wald,vorwerfen,kraft,tanken,bevölkerungsgruppen,gemeint
134,7iwybiskzdckdc4fdme0pq,milbertshofen,arisierungsstelle,ayfrzlxufi66dwqpedetga,blockleiter,barackenlager,nachbarn,lagers,zeit,grundrechten,laim,smartphones,blockwart,nsdap,leutenberg,ghettoisierung,ciso62ud_5dvh,knorrstraße,pastsieren,hoheitsträger
135,straßenbahn,donau,auszeit,ulm,bildbeschreibung,herdbrücke,vgjrq,okv9ivudzvyvz9p7,ulmer,kraft,leidest,münster,aufnahme,neu,weiterzumachen,winkel,entlang,tanken,een,brücke
136,0kefd,rk5d8o5q4blfyckq,slmvz1wg,jw9wmpqw,whlr1nvruialgqx15kawsq,gha,krieg,kündigung,pusvqfok4ob5,17k9r3anw,juden,41,sophie,menschen,satzes,helden,ja,wurde,scholl,reinen
137,rnbkutds9w1a0we0uxqvya,le,zensur,polémique,et,netiquette,la,fhuqvd7t2efczj1_365vlw,kommentare,vergleich,dialogue,monde,verstoßen,de,gelöscht,vergleiche,zugehörige,vorsichtig,est,les
138,dietrich,bügeln,robert,scholl,3asy,p3asy,putzen,putze,sorgen,inge,einwohner,abzubauen,leutkirch,hilft,stress,jüdischen,j73hyfzen1cubwdvddktiq,öhringen,ausgesagt,kreisleiter
139,xhtkxhbtp5gpapd6_cbnfw,abgeholt,wagon,hamburg,resigniert,lungenentzündung,mut,abging,eisenbahn,merkte,verblendet,worden,aufzeigen,gefragt,ungerecht,fuß,wovon,frankfurt,bauernhof,1920
140,tg2az,hopkiioepl5kvvla,internet,social,media,rußland,russische,hirzel,hinrichtungwarum,sehbehinderung,sprachapps,frontbei,absurdesten,armwut,ghetto,verdammung,inaktivität,schriftwechsel,garant,ausweglosigkeit
141,beileid,krieg,leid,tut,sinnlos,ernst,mein,immer,heldentod,oma,herzliches,opa,sophie,ostfront,wadxj,htz35h,vv1hdo1xw,bruder,tod,großvater
142,deutschkron,juden,sophie,fritz,23,kubanische,geschäfte,the,krieg,geschäften,unrecht,november,hib4mkmha,vgwtwb0q_04a,jüdischen,bürgen,teyrnepiedzjtxxz6n1eog,einwanderungspolitik,witebsk,uhrgroßvater
143,widerstand,_sgd9zuer271u8vruvpaqa,menschliches,patronen,ns,handeln,sophie,ja,1ohu3q1_6tq3q,axlpv43i,rose,schaffst,widerständig,kraft,unterdrückt,rtkdrcghdiu1dx2zomgzlw,benz,innen,definition,verweigerung
144,zwangsarbeiter,friedrich,russisch,masken,zwangsarbeit,zwangsarbeiterinnen,entschädigung,qcahirh,chemikalien,xrb3mcg,jbmosp,charakter,sophie,innen,ostarbeiter,staub,fabrik,russinnen,russin,menschenbild
145,7bpyhv7nhelkgqtprovdqg,wq_mozq2qzyo0n3gtcirva,sophie,vorstellung,scholl,fritz,krieg,zlyap8obgaofjdaxxoxgnq,front,wochenschau,schön,bearbeiten,text,wissen,unreflektiert,robert,ja,alltag,abgelegen,f22kr8tyoyymujuif94rbg
146,eqwumdoxfadzvxafgf2vyg,macht,munition,sabotiert,sabotieren,menschen,krieg,möchte,leider,militär,verantwortung,umzugehen,gib,sophie,produktion,vorsichtig,oben,brauaqg93nv36jbf8aaqaw,entscheidungen,phcl3suz7r1wri6_ndqrug
147,gzvbr5svla,urvqkbpu6rw,2h,xaejklnqjlbqc4gj,gq,qqb3nw09kc6t0gyvv2620a,stalingrad,vqtqabyx26prpkxfe,1woq,8ir3r6ixznmgh9h6fog4zw,makaber,wendepunkt,yfznivui9h5pgoicpudg,opa,xheiz6kxspvhx3spodjfhg,qyztxa70qpgstpm7avoela,unbewaffnete,s65fpjcaclf_pzmleaziqa,gefangenschaft,armee
148,garten,gw,emmursu0m9anft5wnhv,inge,einkaufszettel,schreibschrift,pnslzvwuey2fyvo3bmkrxw,aa11kh8clnrgjn_kflit3w,2l1miktl7suck9yhagg,fleisch,ja,bevölkerung,zuteilungen,wa,blh8rplmmehukhdhbws49g,j73hyfzen1cubwdvddktiq,zettel,hühner,kaffeeersatz,markt
149,zimucn2yw0ormbvyskd0ca,eintopf,tomaten,speck,sexismus,tofu,räuchertofu,mqtb59row2iumfvf4ny5va,vi4lun5nn2fvto8tpvak9a,zschäpe,yrwbjjcjfqdkgtvlhepa1q,sojabohnen,z5eei8inygq3gi3uxvjwbw,trocknen,getrocknete,gendergrammatik,z3ev_ng2jtskdjlesooxta,gendern,bokdva1con47ab8ysqvg2g,fleisch
150,kartoffeln,eintopf,zutaten,kümmel,suppe,kohl,schmeckt,wasser,j73hyfzen1cubwdvddktiq,pralinen,zucker,gemüse,kochen,wurde,menschen,rezepte,l8dusn9y2ygjynhayvulaa,nj6jgru5v8g,widerstandsschrift,navullylyw02xybjj_dqmg
151,würstchen,friedrich,b4ulpovzv3xqnx3lg,unterbuttert,26e8,polieren,unbedacht,seins,ego,diktator,abwertend,liebe,behinderung,vermeintlichen,derjenige,glauben,landes,schwach,findet,3v08ic4qdhg8knx5wg
152,fadfmjgptorevzy3mq,vcc,ernst,sehbehinderte,freund,sad,it,wer,familie,haben,mysfuafdwxrntskqpv7mtg,jail,todesich,familiewer,bezeichneteure,programme,pjcyp5xt,cringespeechless,w8qhvy69lhg,qbo3b1_7vfugvzcgq30mva
153,neid,otl,neidisch,gefühl,gönne,wills,1zuiqapc6wqncmm68othaw,kenne,eingezogen,gut,ja,gönnen,gefühle,pd13n9lwojftemwk8crxmw,teppichböden,neidete,_xlmxutndwxyrdiqll2oeq,möchte,glück,sehnsucht
154,otl,momente,aicher,anzusehen,beiden,zusammen,dargestellter,xdyj93hcaywa,starren,7vdxloyy3,refe,schönwie,kept,dancing,before,krieg,z9ktz3omv_ldb_fwwhinew,adi,altersunterschied,krisenzeiten
155,russen,russland,jlgys1kamviefkbcsreofa,fur_cl4yk9fsgar_bsfc5w,kriegsgefangenen,illustrationen,jhvgnulsqn0s2paqkf2w,vgwtwb0q_04a,hib4mkmha,teamsoffer,zigarette,russischen,scholl,schokolade,krieg,wehrmacht,oyq4nqclkxt4qpiennruba,pietätlosigkeit,ja,geschichte
156,petersburg,st,leningrad,würdet,moskau,xoqzhneleunie_u0a82vew,taztzvqylku28q,2xvnn61,russland,lenin,kulturen,gegendert,hieß,krieg,reise,ja,geboren,verstehen,sicher,reisen
157,stoff,fritz,sophie,soldaten,nähen,russland,hartnagel,ybr3u392l1pqlq63dyanzg,frankreich,kleid,ja,scholl,j73hyfzen1cubwdvddktiq,russ,bevölkerung,k2x,a5ck9oc62eg,gmmwlz,bode,front
158,kleid,tracht,nähen,trachten,wunderschön,_irehf6rnjhfowdwuxq1pa,y5_mna37rdmgyotbkovtza,sophie,stoff,muster,dialekt,das,schön,steht,pakete,süddeutsch,schönes,gnfoj0b6u0,1810,j8ajwh3s2bq
159,spruch,otl,katholik,meiner,aicher,lebensmotto,you,überzeugter,the,luutekjd8q2rgk662feb6q,gut,to,immer,begleitet,ja,aspera,füg,astra,firmung,never
160,q8v0ijkdrjeo2qbatpsxla,attest,ilovmxfsufxucutx3varsw,maske,arzt,tragen,unfrei,ja,freiheit,ausstellen,_irokcebw4,atteste,2o5rd0susyw,probleme,gesundheitlichen,masken,lied,lächerlich,dreck,opferrolle
161,uz5iv1gkkvbosbitldvyla,leutenberg,musik,theveryprettycaterpillar,vorbeerdigung,jazz,unheilbar,swing,fritz,kritikerinnen,nfosoeee9gac4w5wk,aamore,wohnblocks,empfehlenswerte,u5epinnlflcwll9wnbb3gw,vlxzlpfq_ujf0v6bqe3lyg,unheimliche,npwpsnwxdndhsar1yae9nq,1a6w,luci
162,inge,sophie,otl,eifersucht,lnge,zw,35klzq4uffg9i5b_gxj9rq,inges,aufzeichnungen,ja,enge,mutter,leutenberg,lautenberg,mhp6adyqoefltvzkp8hr,lebensentwurf,misstrauen,zeit,liebe,angst
163,darlehen,elisabeth,kind,mark,scholl,familie,wurde,heiratete,hib4mkmha,vgwtwb0q_04a,norm,sophie,überlebten,verstarb,mutterkreuz,geschwister,zeit,widmete,wurden,werner
164,fiktion,villa,muth,sophie,münchens,geschichte,cs_ueabslwqzmfh4drfp0w,angriff,ja,wurde,stadtchronik,einzelheiten,bombardierung,begebenheiten,kommentar,bombardierungen,09,fiktionalisiert,angriffen,1942
165,qaiqgxsedeuneg9sqboaca,deutschen,z0ap4ksoekvjrfngikfang,sophie,bilder,leid,russland,bevölkerung,ja,j73hyfzen1cubwdvddktiq,krieg,t_frgiifc_m1l7r5jbme_w,london,angriff,wehrmacht,irma,scholl,wurde,köln,luftkrieg
166,7b0mgawjfcfmao0qor7hig,sirenen,oj0hvtub,cl_kbdiexnq1g,sirene,keller,mutter,oma,dach,meine,erzählt,luftschutz,luft,bombe,flugzeug,heute,traumata,luftangriffen,großtante,gänsehaut
167,j6w,mkaqtmde7zlfhsv0,3thsio8selx60elcshv05a,sozialismus,c6tns4sugreubsczxftwoq,pmydkgsvxrh_ixcezkgc6q,krieg,aichner,rkrlcmqur5p682geqkgg,fabrik,foto,usw,durchhalten,utopie,praktischen,ja,waffe,7bpyhv7nhelkgqtprovdqg,captions,100
168,inge,geschwister,schwestern,immer,schwester,elisabeth,sophie,geschwisterliebe,wtukctw,bomeuxauvk5fxk,streit,spannungen,fabrikdienst,xbyioplpdfaecsomfipu1w,arbeitete,ankommt,rkrlcmqur5p682geqkgg,familie,reibereien,cute
169,muth,ja,cnhapehd8r43plyimzae9g,cyfdlnftygmup,1bdosaqq,russisch,namensliste,schlüssel,_thnzpbupdextj8ora7zew,liste,sophie,kettensäge,drushba,bücher,fiktiv,sätze,aenuyml0,6vwxs3gyw,c3d,h7kmzutymvssnfvg4fw_aw
170,traum,fritz,brief,05,1940,albträume,träume,brücke,mhqkgi9vs9jgzqg5ealgzq,krieg,maßstäbe,sophie,16,fantasie,trösten,alptraum,schrecklicher,liebe,18,wagen
171,ostarbeiter,zwangsarbeiter,850mnrs0mkqrsasenyd7hq,essen,zustecken,bezahlung,yi0lxm3ieofbpwuuicmjzg,arbeitskräfte,3e_zjdkibw_wyallp4ybtw,versprechungen,innen,deutschen,zwangsarbeit,behandlung,geringe,000,lohn,ja,verschleppt,1944
172,exstirpieren,unverbesserlich,errichte,verlorenes,falschheit,romantisierte,während,satire,vergiftet,129,pessimismus,skepsis,mauer,clever,briefen,notierte,aufenthalt,darstellte,einseitig,ost
173,postleitzahlen,robert,scholl,briefe,familie,ceesc727qfpvhddrjiy4rq,schreiben,papierknappheit,vater,brief,frankfurter,4ucuxxpgfnihv0og5sfr1a,okeetlagxkc5p_wm_1ibiw,378,verfrüht,wg,papier,zulässig,zusammengedrängte,endlos
174,bdm,hj,abitur,bokdva1con47ab8ysqvg2g,pfadfinder,kluft,werner,mitglied,pfadfindern,friedrich,xzzrrwku_rjp_zirfhd7tq,schulschwänzer,platzgasse,j0y0q_umwseu5uwzsp_qda,uniform,hitler,wurde,meine,dezs4jia9mruxdqukamp7a,oma
175,6jwvpuru_r_tx8lkasj90q,stunden,affe,gemeint,tätigkeit,bewusstsein,ja,dressierter,slawen,rassismus,affen,menschen,niemand,russ,rassistische,c3d,6vwxs3gyw,aenuyml0,ließe,sophie
176,zweig,stefan,buch,sternstunden,gelesen,schachnovelle,bücher,autor,lesen,toll,ja,seria,humanidade,atlantik,knpfqtc1gmcke4osozb7yq,großartiges,stuart,antoinette,empfehlung,gefallen
177,qqb3nw09kc6t0gyvv2620a,hirzel,hansi,reps,sabotage,l10ysag,kp8iyh_hv0zzfm,partei,spektrum,l8psgoqdub92po1uiwjuxq,rose,zuzuordnen,pqxz0lp3pydbxu8mntzwpa,defacto,aktionen,sophie,ja,cdu,verfassungsschutz,weißen
178,kartoffelsalat,kartoffeln,bratkartoffeln,pommes,essig,öl,mayo,mayonnaise,kartoffelpuffer,kartoffelgratin,kartoffelbrei,pellkartoffeln,sahne,brühe,zwiebeln,quark,salz,ofenkartoffeln,lecker,apfelmus
179,mukke,3rqnyhc3xudcggev9jiv6q,modernisierungen,haftbedingungen,liebs,ausgelassen,tanz,hübsch,tanzen,geil,freude,schön,sophie,fünf,scholl,bewährungszeit,048,restlicher,originalfilename,obvulihs
180,codes,jbldmbbf5noq,tlpfimk_apippwjscg,0yk,tudemunig,m_nkwb8hiiuh9ybqtqr,muth,pxmy193jsel_snac8eqwdw,cq,rollenspiel,drqwrhtue2,prägst,adressbuch,aaf1ckrvew,russisch,sophie,buch,schlaf,verklären,wörterbuch
181,mitläufer,lina,passive,mio,zeitung,friedrich,zurückgenommen,friedrichs,gewährt,erlaubnis,frankfurter,robert,charakter,scholl,378f,megaaaaa,funkensprühende,volksbewegung,besuchserlaubnis,enthusiastische
182,arm,füreinander,miteinander,zusammen,esst,guckte,reden,hilft,gelben,nimm,judenstern,ausgesondert,mutter,trinkt,fest,honigbrot,zeig,kummer,auschwitz,umarmung
183,h7kmzutymvssnfvg4fw_aw,neuigkeiten,anhaltspunkte,verkürzt,ja,selbstaufopferung,verkürzung,spaziergang,eher,strafen,freude,dienst,russin,milde,arbeiterinnen,feiern,überraschend,idee,verzichtet,natur
184,zwangsarbeiter,oma,bptralaay3fjuv_v5kkikq,d54ogspm1bbv7gdj4ys_sw,wurde,sabotage,zwangsarbeit,dachau,innen,kz,ludtka,petr,rüstungsgütern,cobyhm5nvq1wxw57leyvyg,unterlüß,tatakae,ca,ausbeutung,bauernhof,krieg
185,geburtstag,hans,gute,alles,birthday,glückwunsch,happy,herzlichen,lieber,wünsche,glück,hoffe,tag,hallo,gesund,abwehrkräfte,gscheit,verwirklichst,zuweilen,vnzia10n0extoaobb1ebwq
186,wasser,schwimmen,ulm,iller,stalingrad,meer,c3pf0bad05noyc_rlslf0a,donau,ostsee,kinder,isar,fluss,liebe,see,gjfxj,0p,tschenstochau,wek8a_1cmw2onozm3zgtiq,aujgzyba62oaq,sommertage
187,otl,postleitzahlen,inge,sophie,song,jv43ztdtgqwsvsav87xoqg,gyb1c_torhfq3f5h1vh76a,geisler,5skjg6hthcc5tobqkbrqua,postleitzahl,beruhigt,vmvenuz380fzch4posakiq,musik,geschwister,beethoven,komponisten,eifersucht,hast,briefverkehr,bach
188,schmerzen,regelschmerzen,endometriose,wärmflasche,schmerzmittel,bett,menstruation,magnesium,periode,frauen,8cxkkjecssbcxht_rzwp9q,hilft,7iwybiskzdckdc4fdme0pq,zyklus,adenomyose,immer,camelia,ibuprofen,starke,ja
189,rollen,räder,knöpfe,edelweißpiraten,sieg,personenzüge,knöpfen,strecken,zulassungskarten,kampagne,eingeschränkt,italienischen,verballhornungen,rabatte,pavelic,aufnähen,zyhpdi_sao6wwetjvfxs,vu,sprichwörter,388
190,rauchen,wählen,ndcwmrruz7u0khvlajtvtq,raucht,wahl,sophie,geraucht,heute,ja,zigarette,damals,bundestagswahl,stimme,wahlrecht,hätte,zigaretten,weglassen,mehr,wahlen,weggelassen
191,z7fxqafcxxf9,desswegen,clair,notstand,pxn33qliw,lune,vision,gewählt,anklage,schöner,heute,frühstimmt,herumwühlten,gezogene,hinginge,debussy,t5qfpujnocpw,kkl8cuhrw,fragtgar,pandemiebundestagswahl
192,r5jzx8x79cyflsqo8w062w,a0cvsnrgvxlngpwqkoqzxa,afd,umfrage,tagesschau,fabrik,feedpostings,linksrutsch,bt,whhaaaat,einfährt,shtml,g3rw5czwsqhjrslh4r5tvg,freitheit,sophiehabe,rechts,wahl,partei,baumeln,verpasst
193,träume,thomas,träumen,fritz,verbaler,sophie,jijvtcb_rcklbkiq1h0r7q,leben,ubj3dariel5ftvldymok8w,t4euhyfqsyif5mgq,9kg0,verwerflich,bbc,bauernhof,vveckeaurt40ciczslkcxa,jhg,m9cndcaqv3gsyfjkiymkta,schlechten,rebellion,krieg
194,rl4brw1iw1mrhrmhr0vsjq,zwangsarbeiter,fremdarbeiter,frauen,ja,zwangsarbeit,begriff,begriffe,sophie,sprachliche,ostarbeiter,zivilarbeiter,arbeit,bewusste,befreiern,radwj,pakt,euphemismen,ns,mmn
195,lied,strophe,verboten,ärger,passt,gedanken,text,qk3q9rl8e0gfgiikhudcbg,mutig,gesungen,vater,passend,üben,lieblingslied,melodie,hib4mkmha,vgwtwb0q_04a,ja,robert,perfekt
196,instrument,altflöte,xrkobx_ap3x2idoprmj8ga,vater,flöte,klavier,musizieren,musik,spielen,spaß,auschwitz,ja,künstlerinnenverein,311,sopranund,kinderzimmer,blechhammer,gedok,lieblingsband,überredungsarbeit
197,x1iyn677syvdm7tm9vcula,blockflöte,lied,instrument,frei,spielen,kinderlied,fingerbewegungen,rx36avubtie3tv8attztuq,playback,vater,gedanken,bravo,8inu1uf_kv9zkhl3azk6gq,kohlmey,drach,aqz9_u6onkebvth6kobasa,musikerin,liederbüchern,schnell
